id_x,estudiante_id,materia,nota,fecha,id_y,nombre,rol,correo,edad,genero
32,33,ingles,3.5,2023-11-18,33,,Profesor, juan33@mail.com,50,na
33,34,historia,2.8,2023-12-01,34,Laura,estudiante, ,20,F
34,35,ciencias,1.0,2023-05-22,35,Juan@@,alumno, juan35@mail.com,23,M
35,36,matematicas,3.4105263157894736,2023-02-09,36,Carlos,PROFE, carlos36@mail.com,54,M
36,37,lengua,3.4105263157894736,2025-09-27,37,Ana**,estudiante, ana37@mail.com,22,F
37,38,ingles,3.0,2023-07-01,38,PEDRO,Profesor, pedro38@mail.com,46,M
38,39,historia,3.0,2023-10-19,39,,Alumno, ,21,na
39,40,lenguaaa,3.4105263157894736,2023-09-04,40,MIGUEL,estudiante, miguel40@mail.com,19,M
40,41,matematicas,5.0,2023-04-11,41,Luisa,PROFE, ,48,F
41,42,ciencias,3.4105263157894736,2023-03-08,42,Laura,alumno, laura42@mail.com,22,F
42,43,ingles,2.0,2023-11-23,43,Juan##,Estudiante, juan43@mail.com,20,M
43,44,historia,3.4105263157894736,2023-05-17,44,,PROFE, ,49,na
44,45,lengua,3.4105263157894736,2025-09-27,45,Ana,Alumno, ana45@mail.com,21,F
45,46,ciencias,3.4105263157894736,2023-06-30,46,PEDRO**,Profesor, ,56,M
46,47,lenguua,3.0,2023-01-20,47,MIGUEL,Estudiante, ,20,M
47,48,matematicas,3.4105263157894736,2023-02-15,48,Laura##,alumno, laura48@mail.com,22,F
48,49,ciencias,3.4105263157894736,2023-09-27,49,,PROFE, ,51,na
49,50,historia,3.4105263157894736,2023-10-06,50,Carlos,Alumno, carlos50@mail.com,23,M
50,51,ingles,5.0,2023-08-14,51,ANA@@,profesor, ,44,F
51,52,matematicas,3.4105263157894736,2023-03-19,52,Juan,PROFE, juan52@mail.com,55,M
52,53,lengua,3.4105263157894736,2025-09-27,53,Luisa**,estudiante, ,21,F
53,54,ciencias,4.0,2023-12-09,54,PEDRO,Alumno, pedro54@mail.com,22,M
54,55,lengua,3.4105263157894736,2023-04-02,55,MIGUEL##,Profesor, ,53,M
55,56,historia,3.0,2023-11-28,56,,Estudiante, ,19,na
56,57,matematicas,3.4105263157894736,2023-02-23,57,Laura@@,Alumno, ,20,F
57,58,ingles,2.0,2023-07-12,58,Juan**,profesor, juan58@mail.com,47,M
58,59,matemáticas,3.4105263157894736,2023-06-08,59,ANA,PROFE, ,52,F
59,60,lenguaaa,3.4105263157894736,2023-10-25,60,,Alumno, ,21,na
60,61,historia,3.4105263157894736,2025-09-27,61,PEDRO,Estudiante, ,20,M
61,62,lenguua,3.4105263157894736,2023-08-30,62,MIGUEL,Profesor, ,48,M
62,63,ciencias,5.0,2023-01-18,63,Laura,Alumno, ,23,F
63,64,historia,3.4105263157894736,2023-02-05,64,Carlos**,Estudiante, ,20,M
64,65,lengua,3.4105263157894736,2023-03-27,65,Ana##,Profesor, ,45,F
65,66,ingles,3.4105263157894736,2023-04-21,66,Juan,Alumno, ,22,M
66,67,matematicas,3.4105263157894736,2023-05-09,67,MIGUEL,PROFE, ,50,M
67,68,lengua,3.4105263157894736,2025-09-27,68,Laura**,estudiante, ,21,F
68,69,ciencias,3.4105263157894736,2023-07-02,69,PEDRO,alumno, ,20,M
69,70,historia,3.4105263157894736,2023-09-14,70,,Profesor, ,54,na
70,71,ingles,3.4105263157894736,2023-10-31,71,Carlos,Alumno, ,23,M
71,72,matematicas,3.4105263157894736,2023-12-19,72,ANA**,Estudiante, ,19,F
72,73,lenguua,3.4105263157894736,2023-02-11,73,Luisa,PROFE, ,48,F
73,74,ciencias,3.4105263157894736,2023-03-06,74,MIGUEL,alumno, ,21,M
74,75,lenguaaa,3.4105263157894736,2023-04-17,75,Laura##,Estudiante, ,22,F
75,76,historia,3.4105263157894736,2025-09-27,76,PEDRO**,PROFE, ,53,M
76,77,lengua,3.4105263157894736,2023-05-13,77,Juan,Alumno, ,21,M
77,78,matematicas,3.4105263157894736,2023-06-28,78,,Profesor, ,49,na
78,79,ingles,3.4105263157894736,2023-07-20,79,ANA,Estudiante, ,20,F
79,80,ciencias,3.4105263157894736,2023-08-22,80,Carlos**,PROFE, ,52,M
80,81,lengua,3.4105263157894736,2023-09-30,81,MIGUEL##,Alumno, ,22,M
81,82,historia,3.4105263157894736,2023-10-04,82,Laura,Estudiante, ,21,F
82,83,lenguua,3.4105263157894736,2025-09-27,83,PEDRO,Profesor, ,47,M
83,84,ciencias,3.4105263157894736,2023-11-16,84,Luisa**,Alumno, ,23,F
84,85,matematicas,3.4105263157894736,2023-12-08,85,,Estudiante, ,20,na
85,86,ingles,3.4105263157894736,2023-01-15,86,Juan,Alumno, ,22,M
86,87,historia,3.4105263157894736,2023-02-19,87,MIGUEL,PROFE, ,51,M
87,88,lengua,3.4105263157894736,2023-03-21,88,Ana**,Estudiante, ,19,F
88,89,matemáticas,3.4105263157894736,2023-04-29,89,PEDRO##,Alumno, ,23,M
89,90,lenguaaa,3.4105263157894736,2023-05-25,90,,Profesor, ,55,na
90,91,historia,3.4105263157894736,2023-06-14,91,MIGUEL,Alumno, ,22,M
91,92,matematicas,3.4105263157894736,2023-07-30,92,Laura**,Estudiante, ,20,F
92,93,lenguua,3.4105263157894736,2025-09-27,93,Carlos,Alumno, ,23,M
93,94,ciencias,3.4105263157894736,2023-08-27,94,,Profesor, ,49,na
94,95,lengua,3.4105263157894736,2023-09-19,95,Juan**,Alumno, ,22,M
95,96,ingles,3.4105263157894736,2023-10-12,96,PEDRO,Estudiante, ,20,M
96,97,historia,3.4105263157894736,2023-11-06,97,Luisa,Alumno, ,23,F
97,98,ciencias,3.4105263157894736,2023-12-02,98,MIGUEL**,Profesor, ,52,M
98,99,lenguua,3.4105263157894736,2023-01-09,99,Laura,Alumno, ,21,F
99,100,matematicas,3.4105263157894736,2023-02-13,100,Ana**,Estudiante, ,20,F
